m1,m2,ncyc,time,Mdot
0.6,0.25,1,0.7920031787519008,0.0004169546691106075
0.6,0.25,1,1.9420934179131923,0.04049960571402183
0.6,0.25,1,3.1302063611914352,0.22247278516289665
0.6,0.25,1,3.739999323460668,0.3371560922382854
0.6,0.25,1,4.479563422088204,0.47439403908575767
0.6,0.25,1,5.505131502721661,0.6812811348034625
0.6,0.25,1,6.441882984252945,0.841709999157024
0.6,0.25,1,7.438522752752087,1.0298850857757376
0.6,0.25,1,8.267913967237371,1.0786672240508501
0.6,0.25,1,9.443793562209937,1.155937989765116
0.6,0.25,1,10.599351949295727,1.0944945428123094
0.6,0.25,1,11.61255808880797,1.1024622298928588
0.6,0.25,1,12.838006330201576,1.0759637937740767
0.6,0.25,1,13.931508198651986,0.9699134998754863
0.6,0.25,1,14.759649706075338,0.9585315542433368
0.6,0.25,1,15.833399862891838,0.8434970514505926
0.6,0.25,1,16.64162334272604,0.8077282257322478
0.6,0.25,1,17.817313402987494,0.7377101738475214
0.6,0.25,1,18.807328220790243,0.6543753954401345
0.6,0.25,1,19.77035574808119,0.6574546288558085
0.6,0.25,1,20.634169839200403,0.5827056322387753
0.6,0.25,1,21.878678106935208,0.53632200515988
0.6,0.25,1,22.84777221052145,0.5044849871052487
0.6,0.25,1,23.762106646088828,0.4646439472740391
0.6,0.25,1,24.691679935991182,0.43259287598294605
0.6,0.25,1,25.79814177310185,0.3773060255193
0.6,0.25,1,26.871230585974665,0.3373059011986534
0.6,0.25,1,27.953777108293863,0.3115100435956556
0.6,0.25,1,29.03994130889544,0.26088306845331966
0.6,0.25,1,30.46827082906953,0.23249907996559083
0.6,0.25,1,31.38698782579261,0.21563508743784274
0.6,0.25,1,32.284539279978304,0.20245110929329999
0.6,0.25,1,33.12178473432873,0.20166400110396338
0.6,0.25,1,34.244980618843826,0.1712085059335376
0.6,0.25,1,35.470775077388005,0.15798087610680914
0.6,0.25,1,36.44798558585703,0.15786893744757446
0.6,0.25,1,37.27995429046453,0.13528460652145757
0.6,0.25,1,38.115058047326286,0.13302938990871271
0.6,0.25,1,39.24517660489123,0.11114971412779834
0.6,0.25,1,40.39382743913192,0.10461913255232728
0.6,0.25,1,41.50245829279296,0.09185824303959318
0.6,0.25,1,42.36935635133522,0.0881198731629719
0.6,0.25,1,43.415788615948564,0.08573261778390551
0.6,0.25,1,44.43912577777671,0.06933591280209182
0.6,0.25,1,45.48286349712251,0.07096151240362294
0.6,0.25,1,46.657149252712145,0.06391495381252359
0.6,0.25,1,47.70186836246708,0.05639380656346828
0.6,0.25,1,48.83765107508146,0.04938355856076504
0.6,0.25,1,49.851166888979236,0.04919207401869635
0.6,0.25,1,50.90899076871723,0.043948383520183744
0.6,0.25,1,52.035248413884936,0.041840458918638836
0.6,0.25,1,52.7438172499138,0.039204910041526556
0.6,0.25,1,53.67988300664234,0.03949670137495494
0.6,0.25,1,54.585808475783786,0.03362808634909453
0.6,0.25,1,55.45803290613512,0.030275988543935015
0.6,0.25,1,56.40300445588978,0.02995476757900406
0.6,0.25,1,57.70199271813666,0.0272540829062854
0.6,0.25,1,58.52882649499801,0.02714540494560796
0.6,0.25,1,59.722482165916304,0.024231664662552145
0.6,0.25,1,60.38590821159314,0.02254545830570154
0.6,0.25,1,61.31893120559599,0.022274504388974648
0.6,0.25,1,62.35148181861699,0.018115508393329295
0.6,0.25,1,63.468726284888845,0.017196303514050968
0.6,0.25,1,64.61097160084742,0.015638071018187674
0.6,0.25,1,65.7696410478874,0.014811639231022175
0.6,0.25,2,0.7246627704887383,0.00023721682696357455
0.6,0.25,2,1.8516929598516192,0.03233389023100084
0.6,0.25,2,2.8072484204318644,0.15062329153810594
0.6,0.25,2,3.513087161531333,0.28064488674321664
0.6,0.25,2,4.309971345289824,0.46978888607201286
0.6,0.25,2,5.372674114779864,0.6442202120886802
0.6,0.25,2,6.54029942835874,0.84422711759985
0.6,0.25,2,7.939645606697097,1.1856481491664232
0.6,0.25,2,9.522418099898562,1.0681485572782143
0.6,0.25,2,10.605299986553762,1.0798070555009753
0.6,0.25,2,11.40739236254739,1.2315691227446992
0.6,0.25,2,11.980983106401128,1.276573127343436
0.6,0.25,2,13.034525398869896,0.9965410620945073
0.6,0.25,2,13.87193717980783,0.9932168230596152
0.6,0.25,2,14.788865727771892,0.9744271726763265
0.6,0.25,2,15.66644636795993,0.9858271631765989
0.6,0.25,2,16.638288190676654,0.8033403123029836
0.6,0.25,2,17.85148423683418,0.760548602004678
0.6,0.25,2,18.88289395032325,0.7374623297564539
0.6,0.25,2,19.85116698291551,0.6695743512691221
0.6,0.25,2,20.64403623235035,0.6016130684920983
0.6,0.25,2,21.30909964340948,0.5754562159421575
0.6,0.25,2,22.21183806159481,0.5003860592649942
0.6,0.25,2,23.201081551431148,0.48592817786131215
0.6,0.25,2,24.554667534147125,0.4307783900739289
0.6,0.25,2,25.580722438441704,0.40330334756760267
0.6,0.25,2,26.777270340646314,0.34864213996399473
0.6,0.25,2,27.677411220938485,0.3387799321580385
0.6,0.25,2,28.44042246765508,0.325244293934485
0.6,0.25,2,29.247399115208605,0.29004567552149807
0.6,0.25,2,30.102353902301456,0.2715233712393794
0.6,0.25,2,31.52804784878849,0.23583417115573097
0.6,0.25,2,32.36377051294361,0.21853177715218075
0.6,0.25,2,33.531468353690876,0.19028925419117668
0.6,0.25,2,34.350882918073474,0.18660738234217425
0.6,0.25,2,35.53719752064832,0.16491729946945355
0.6,0.25,2,36.61418771386949,0.1677004932905653
0.6,0.25,2,37.58286013433787,0.15039302540260202
0.6,0.25,2,38.57470762911078,0.1302535617603911
0.6,0.25,2,39.443750090024906,0.11426769497333107
0.6,0.25,2,40.53296453032132,0.10246994619300341
0.6,0.25,2,41.44196783425317,0.10658103624204086
0.6,0.25,2,42.19684668149972,0.09557112814324639
0.6,0.25,2,42.941259166635795,0.09086022177020883
0.6,0.25,2,43.975776750180216,0.07468486780328894
0.6,0.25,2,45.291595001462305,0.07670212268488147
0.6,0.25,2,46.32359332417699,0.06893193304287715
0.6,0.25,2,47.299865658955014,0.058956026966455174
0.6,0.25,2,48.35703088687552,0.05597022575520189
0.6,0.25,2,49.61823123521688,0.052579804387005685
0.6,0.25,2,50.662107735489656,0.047958127145997
0.6,0.25,2,51.57992228932291,0.043904417089161804
0.6,0.25,2,52.80118003133489,0.040351243848990255
0.6,0.25,2,53.88693131902721,0.03687372029577955
0.6,0.25,2,55.19408251742641,0.034091567393611334
0.6,0.25,2,56.23072940487079,0.033697416612270104
0.6,0.25,2,56.98583559852669,0.026033434807240866
0.6,0.25,2,57.71220375867756,0.027720488547965154
0.6,0.25,2,59.04238934512381,0.02566793848118378
0.6,0.25,2,60.387122489280465,0.023418271637181198
0.6,0.25,2,61.35121864662394,0.021129368649168572
0.6,0.25,2,62.274581182396744,0.018455373466398584
0.6,0.25,2,63.56687004084519,0.018687655596585643
0.6,0.25,2,64.3454609044365,0.018972212474328044
0.6,0.25,2,65.16651550064533,0.015216757700201793
0.6,0.25,2,66.29518085958314,0.015859380953525952
0.6,0.25,2,67.21625983501123,0.014020594683858646
0.6,0.25,2,68.21523546166722,0.013267996925950744
0.6,0.25,2,69.18254688196232,0.011820911943925594
0.6,0.25,2,70.25006179172212,0.011399515763451341
0.6,0.25,2,71.53155816398485,0.011350897040735563
0.6,0.25,2,72.5496751453652,0.010233213363645606
0.6,0.25,2,73.67846290402058,0.010059424536554546
0.6,0.25,2,74.26842848381438,0.009412085959068861
0.6,0.25,2,75.25868480342835,0.008502381971485234
0.6,0.25,2,76.09003874936978,0.008598376508908757
0.6,0.25,2,76.84627613728506,0.007671020490020558
0.6,0.25,2,77.67064566389931,0.0074179029568767815
0.6,0.25,2,78.60382097575915,0.006606240288620879
0.6,0.25,2,79.78700148423034,0.00624046628270441
0.6,0.25,2,80.52172294068244,0.005734500159403268
0.6,0.25,2,81.52784923920132,0.0058575169128050435
0.6,0.25,2,82.4310153525346,0.004967967796937441
